gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement	masked
RvY_04012-1	0.160385048909777	1.89753255514343	10201	173	10028	FALSE
RvY_18813-1	0.703003909178274	1.89593392720398	1536	174	1362	FALSE
RvY_13612-1	1.11097506249601	1.89563891843688	281	175	106	FALSE
RvY_19311-1	0.422872828242751	1.89415960090841	4425	176	4249	FALSE
RvY_18427-1	0.174255051986267	1.89408940474177	9813	177	9636	FALSE
RvY_18334-1	1.19569754948455	1.89201428486665	199	178	21	FALSE
RvY_16895-1	1.16647114770106	1.89050461838215	221	179	42	FALSE
RvY_03534	0.274142410990587	1.88845481320657	7325	180	7145	FALSE
RvY_15878-1	0.853566013012691	1.88710859233075	845	181	664	FALSE
RvY_13099-1	0.318906665286118	1.88158936006986	6318	182	6136	FALSE
RvY_04126	0.693702445141406	1.88049626965763	1595	183	1412	FALSE
RvY_02926-1	0.286142113067536	1.88008183494652	7041	184	6857	FALSE
RvY_05632-1	0.836257365912315	1.87950330507803	925	185	740	FALSE
RvY_01556-1	0.535066566270143	1.87899170515247	2918	186	2732	FALSE
RvY_19412-1	0.840695987960762	1.87166867100592	904	187	717	FALSE
RvY_06380-1	0.280361482483913	1.87090601404088	7170	188	6982	FALSE
RvY_00147	1.23813781975157	1.87003294476194	168	189	-21	FALSE
RvY_06377	0.148825540178998	1.85741522220211	10531	190	10341	FALSE
RvY_05922	0.370840932769768	1.85292118430337	5265	191	5074	FALSE
RvY_09190	0.640284234526409	1.85198778502023	1955	192	1763	FALSE
RvY_08699-1	0.424487479746382	1.85086973065457	4399	193	4206	FALSE
RvY_05700-1	0.211310977828749	1.84796709277406	8818	194	8624	FALSE
RvY_03143-1	0.568361582320611	1.84788341520275	2577	195	2382	FALSE
RvY_05907-1	0.502714689991601	1.8476088314547	3273	196	3077	FALSE
RvY_13206-1	0.204187203591263	1.84590790943629	8996	197	8799	FALSE
RvY_13246-1	0.0918225068735241	1.84453461297686	12196	198	11998	TRUE
RvY_10955	0.256356538571712	1.84442789463344	7739	199	7540	FALSE
RvY_10656-1	0.626531557450827	1.84212779517088	2057	200	1857	FALSE
RvY_07823-1	0.781407131643368	1.84198337975496	1157	201	956	FALSE
RvY_18629	0.201294113562527	1.84119460952823	9077	202	8875	FALSE
RvY_00568-1	0.29347167878319	1.83754565085597	6871	203	6668	FALSE
RvY_07667-1	1.46273916895978	1.83554343834414	57	204	-147	FALSE
RvY_15173-1	0.470898312722893	1.83149639170375	3688	205	3483	FALSE
RvY_03831-1	0.147643135814819	1.82848182924525	10559	206	10353	FALSE
RvY_00493	0.818713915920727	1.82203689093629	1005	207	798	FALSE
RvY_05151-1	0.86434713072706	1.82028380478871	806	208	598	FALSE
RvY_09876	0.163559520204889	1.8190770200306	10115	209	9906	FALSE
RvY_10034-1	0.581740072860584	1.81859348446346	2453	210	2243	FALSE
RvY_04319-1	0.0464337552040872	1.81609091192154	13708	211	13497	TRUE
RvY_06717-1	0.502032751527186	1.8148260590938	3281	212	3069	FALSE
RvY_06082-1	0.595176736845057	1.81284639041665	2328	213	2115	FALSE
RvY_10723-1	0.473032184480182	1.81168082018813	3661	214	3447	FALSE
RvY_13316-1	0.719086872411223	1.81108697965989	1452	215	1237	FALSE
RvY_03474	0.297419481879579	1.80928808998956	6772	216	6556	FALSE
RvY_12668-1	0.615095479305232	1.8073443653763	2143	217	1926	FALSE
RvY_18396-1	0.205181886986917	1.80697833290114	8971	218	8753	FALSE
RvY_13108-1	0.506039256769006	1.80642395224645	3240	219	3021	FALSE
RvY_12452	0.074087280974326	1.80638805768508	12794	220	12574	TRUE
RvY_12953-1	0.563775858682295	1.80611116718837	2612	221	2391	FALSE
RvY_06030	0.0421234422907828	1.80491239257018	13831	222	13609	TRUE
RvY_01196-1	0.0867036950866824	1.80298329874049	12363	223	12140	TRUE
RvY_05768-1	0.982432268966203	1.80045555065492	495	224	271	FALSE
RvY_05200-1	0.975474452849609	1.7983267104512	508	225	283	FALSE
RvY_19229-1	0.0291445949122373	1.79765874521693	14283	226	14057	TRUE
RvY_08544-1	0.077474495693699	1.79715133364039	12679	227	12452	TRUE
