gene	n_timepoints	delta_pool	hetero_gap	discordance	instability_score	var_proxy
RvY_06079	8	0.546617330335087	0.566802001911087	0	0.566802001911087	0.026264947872603
RvY_06080-1	8	0.268015859161623	1.28497931917541	0.125	1.44560173407234	0.154659414641949
RvY_06081	8	-0.00596011222094419	0.558391342155421	0.5	0.837587013233132	0.0296583440469641
RvY_06082-1	6	0.351447043563823	0.398556232034245	0	0.398556232034245	0.0313568223873423
RvY_06083	8	-0.204323797832042	0.87232192673333	0.125	0.981362167574996	0.0875569452928934
RvY_06084-1	8	-0.548040151400811	0.855621669077619	0	0.855621669077619	0.093674063882984
RvY_06085-1	8	0.53646925714177	0.431707935004989	0	0.431707935004989	0.0201613299202173
RvY_06086-1	8	-0.221250380936874	0.742497850926108	0.125	0.835310082291871	0.0439802479466767
RvY_06087-1	8	-1.13270229489239	1.07252145843505	0	1.07252145843505	0.116135532711071
RvY_06089-1	8	-1.0200023498006	1.68693680756715	0.125	1.89780390851305	0.319952085420704
RvY_06090	8	-0.812208255048272	1.10228403149482	0	1.10228403149482	0.121329986026486
RvY_06091-1	8	-0.643709965461301	1.20989963550621	0	1.20989963550621	0.126656288097571
RvY_06092-1	8	-1.42939299918806	2.2932511123991	0.125	2.57990750144899	0.71087703042182
RvY_06094-1	8	-0.571409255062598	1.34970956757741	0.125	1.51842326352459	0.193734147104599
RvY_06095-1	8	-0.319903307689175	0.86115308314603	0.125	0.968797218539284	0.0717516448099693
RvY_06096	8	0.120095329316868	0.469152319247333	0.25	0.586440399059167	0.0256930689282247
RvY_06097-1	8	-0.0472238642735486	0.397150336186733	0.375	0.546081712256758	0.0198076803768988
RvY_06098	8	-1.10653439692831	1.25431086049532	0	1.25431086049532	0.159444194965726
RvY_06099-1	8	-0.196581244677807	1.29186783273878	0.375	1.77631827001582	0.152321506012694
RvY_06100-1	8	-0.706522331556601	0.702469516423193	0	0.702469516423193	0.0536414395052623
RvY_06101-1	8	-0.282421033343032	1.88545199358004	0.125	2.12113349277754	0.347897379037389
RvY_06102-1	8	-0.358154638563328	0.502706148197336	0	0.502706148197336	0.0261081181075183
RvY_06103-1	8	-0.0270589429679665	0.389330698332206	0.625	0.632662384789835	0.0218242015463838
RvY_06104-1	8	-0.632082144902979	1.22256851765649	0	1.22256851765649	0.191810846327248
RvY_06105	8	0.275094581619353	0.665712473933047	0	0.665712473933047	0.0474449565682566
RvY_06106	8	-0.327550277972981	0.792849740278779	0.125	0.891955957813627	0.0861064717066139
RvY_06113	8	0.219005867568919	0.492672753646803	0.125	0.554256847852653	0.0325394954924745
RvY_06115	8	0.258759780890982	1.47229895898229	0.25	1.84037369872787	0.198069427085855
RvY_06116	8	0.124693192685421	0.362947463552275	0.25	0.453684329440344	0.0153213274062044
RvY_06117-1	8	-0.196310999119777	0.527021948400431	0	0.527021948400431	0.0403795102577595
RvY_06118-1	8	0.122556046787748	0.346574941633073	0.125	0.389896809337207	0.0117892652561245
