gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_12080-1	NA	GAV01356.1	hypothetical protein	exact_gene	-0.0335224857449665	1.27242350250775
RvY_12254	NA	GAV01560.1	hypothetical protein	exact_gene	-0.00479850966272011	1.32412919201414
RvY_12270-1	NA	GAV01581.1	hypothetical protein	exact_gene	0.0443442631889326	2.1200223770941
RvY_12452	NA	GAV01798.1	hypothetical protein	exact_gene	-0.074087280974326	1.80638805768508
RvY_12496-1	NA	GAV01852.1	hypothetical protein	exact_gene	-0.00405708214576084	1.36745475977859
RvY_12712-1	NA	GAV02108.1	hypothetical protein	exact_gene	-0.0651980481151835	1.1677128722092
RvY_12757-1	NA	GAV02158.1	hypothetical protein	exact_gene	-0.00352820266928511	1.39677865591995
RvY_12845-1	NA	GAV02254.1	hypothetical protein	exact_gene	0.0374059952245043	2.19000626106193
RvY_12857-1	NA	GAV02267.1	hypothetical protein	exact_gene	0.0168558410691171	1.42705025461012
RvY_12932	NA	GAV02355.1	hypothetical protein	exact_gene	0.030073772503151	1.77029632521493
RvY_12943-1	NA	GAV02367.1	hypothetical protein	exact_gene	0.0381983277603899	1.36125602840578
RvY_13077	NA	GAV02521.1	hypothetical protein	exact_gene	0.0467370588027922	1.28582831910012
RvY_13142-1	NA	GAV02599.1	hypothetical protein	exact_gene	-0.0437585176058901	1.36082381373001
RvY_13159-1	NA	GAV02618.1	hypothetical protein	exact_gene	0.0914964933172451	1.32852958186745
RvY_13161-1	NA	GAV02620.1	hypothetical protein	exact_gene	-0.0509474928071674	1.28509904947084
RvY_13225	NA	GAV02690.1	hypothetical protein	exact_gene	0.105733611731142	1.35205155061162
RvY_13246-1	NA	GAV02716.1	hypothetical protein	exact_gene	0.0918225068735241	1.84453461297686
RvY_13279-1	NA	GAV02753.1	hypothetical protein	exact_gene	-0.0504741615869691	1.35284261828798
RvY_13282-1	NA	GAV02756.1	hypothetical protein	exact_gene	0.0155934890287845	1.40175657066315
RvY_13451-1	NA	GAV02950.1	hypothetical protein	exact_gene	-0.00968462944282944	1.32895393832397
RvY_13513-1	NA	GAV03024.1	hypothetical protein	exact_gene	-0.0602166873318186	1.32322479790839
RvY_13663-1	NA	GAV03204.1	hypothetical protein	exact_gene	-0.0613271308160739	2.34374531955413
RvY_13694-1	NA	GAV03242.1	hypothetical protein	exact_gene	-0.0288128091583157	1.47196945810845
